Timestamp;datetime;Temperature;Humidity;CO2;Noise;Pressure
1513311552;"2017/12/15 05:19:12";21.2;33;493;36;931.3
1513311855;"2017/12/15 05:24:15";21.2;33;476;37;931.2
1513312158;"2017/12/15 05:29:18";21.2;33;485;37;931.2
1513312460;"2017/12/15 05:34:20";21.2;33;496;35;931.2
1513312763;"2017/12/15 05:39:23";21.2;33;488;36;931
1513313066;"2017/12/15 05:44:26";21.2;33;490;36;931
1513313369;"2017/12/15 05:49:29";21.2;33;491;35;931.1
1513313672;"2017/12/15 05:54:32";21.2;33;492;35;931.2
1513313974;"2017/12/15 05:59:34";21.2;33;501;35;931.1
1513314277;"2017/12/15 06:04:37";21.2;33;485;35;931.3
1513314580;"2017/12/15 06:09:40";21.2;33;485;36;931.5
1513314882;"2017/12/15 06:14:42";21.2;33;496;36;931.5
1513315185;"2017/12/15 06:19:45";21.2;33;497;35;931.6
1513315488;"2017/12/15 06:24:48";21.3;33;500;36;931.7
1513315791;"2017/12/15 06:29:51";21.2;33;501;36;931.9
1513316094;"2017/12/15 06:34:54";21.3;33;496;35;931.8
1513316397;"2017/12/15 06:39:57";21.3;33;491;36;931.9
1513316699;"2017/12/15 06:44:59";21.3;33;502;37;931.7
1513317002;"2017/12/15 06:50:02";21.3;33;501;36;931.8
1513317305;"2017/12/15 06:55:05";21.3;33;614;37;931.7
1513317608;"2017/12/15 07:00:08";21.3;33;505;36;931.7
1513317910;"2017/12/15 07:05:10";21.3;33;500;37;931.7
1513318213;"2017/12/15 07:10:13";21.3;33;504;38;931.8
1513318515;"2017/12/15 07:15:15";21.3;33;506;36;931.8
1513318818;"2017/12/15 07:20:18";21.3;33;512;38;931.8
1513319121;"2017/12/15 07:25:21";21.3;33;530;39;931.8
1513319424;"2017/12/15 07:30:24";21.3;33;513;43;931.9
1513319727;"2017/12/15 07:35:27";21.4;33;543;46;931.9
1513320030;"2017/12/15 07:40:30";21.4;33;552;43;931.9
1513320332;"2017/12/15 07:45:32";21.4;33;567;46;931.8
1513320635;"2017/12/15 07:50:35";21.4;33;574;44;931.9
1513320937;"2017/12/15 07:55:37";21.5;33;617;43;931.9
1513321239;"2017/12/15 08:00:39";21.5;33;592;46;931.9
1513321543;"2017/12/15 08:05:43";21.5;33;607;50;931.9
1513321846;"2017/12/15 08:10:46";21.5;33;607;51;931.9
1513322147;"2017/12/15 08:15:47";21.5;33;610;51;931.8
1513322450;"2017/12/15 08:20:50";21.5;33;609;48;931.8
1513322753;"2017/12/15 08:25:53";21.5;33;606;51;931.8
1513323056;"2017/12/15 08:30:56";21.5;33;629;52;931.7
1513323359;"2017/12/15 08:35:59";21.5;33;630;47;931.7
1513323662;"2017/12/15 08:41:02";21.5;33;640;48;931.7
1513323965;"2017/12/15 08:46:05";21.6;33;650;47;931.7
1513324268;"2017/12/15 08:51:08";21.6;33;658;45;931.8
1513324571;"2017/12/15 08:56:11";21.5;33;636;47;931.7
1513324873;"2017/12/15 09:01:13";21.6;33;619;48;931.7
1513325175;"2017/12/15 09:06:15";21.6;33;612;48;931.7
1513325478;"2017/12/15 09:11:18";21.6;33;616;46;931.6
1513325780;"2017/12/15 09:16:20";21.6;33;603;46;931.5
1513326083;"2017/12/15 09:21:23";21.6;33;597;39;931.5
1513326382;"2017/12/15 09:26:22";21.6;33;575;46;931.6
1513326685;"2017/12/15 09:31:25";21.6;33;594;48;931.7
1513326989;"2017/12/15 09:36:29";21.6;33;555;45;931.8
1513327292;"2017/12/15 09:41:32";21.5;33;547;44;931.8
1513327593;"2017/12/15 09:46:33";21.5;33;565;45;931.9
1513327896;"2017/12/15 09:51:36";21.5;33;545;44;932
1513328200;"2017/12/15 09:56:40";21.6;33;564;46;932
1513328503;"2017/12/15 10:01:43";21.6;33;682;46;932.2
1513328805;"2017/12/15 10:06:45";21.6;33;548;46;932.2
1513329107;"2017/12/15 10:11:47";21.6;33;569;45;932.2
1513329411;"2017/12/15 10:16:51";21.6;33;564;47;932.2
1513329714;"2017/12/15 10:21:54";21.6;33;564;46;932.2
1513330016;"2017/12/15 10:26:56";21.6;33;555;44;932.3
1513330319;"2017/12/15 10:31:59";21.6;33;557;48;932.2
1513330621;"2017/12/15 10:37:01";21.6;33;523;44;932.2
1513330924;"2017/12/15 10:42:04";21.6;33;540;44;932.3
1513331227;"2017/12/15 10:47:07";21.6;33;549;43;932.4
1513331530;"2017/12/15 10:52:10";21.6;33;561;47;932.4
1513331833;"2017/12/15 10:57:13";21.6;33;564;42;932.4
